fighter_1,fighter_2,result,weight_class,method,round,time,fight_link,event_url
Anthony Hernandez,Roman Dolidze,win,Middleweight,SUB Rear Naked Choke,4,2:45,http://ufcstats.com/fight-details/68fe62bac7fd8bb0,http://ufcstats.com/event-details/6cd3dfc54f01287f
Steve Erceg,Ode Osbourne,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/37d58369782cb86b,http://ufcstats.com/event-details/6cd3dfc54f01287f
Iasmin Lucindo,Angela Hill,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/646c79a7ecd12e5f,http://ufcstats.com/event-details/6cd3dfc54f01287f
Andre Fili,Christian Rodriguez,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/98d6771af9b0ebe5,http://ufcstats.com/event-details/6cd3dfc54f01287f
Jean Matsumoto,Miles Johns,win,Bantamweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/ed5383b50ffcdded,http://ufcstats.com/event-details/6cd3dfc54f01287f
Christian Leroy Duncan,Eryk Anders,win,Middleweight,KO/TKO Punches,1,3:53,http://ufcstats.com/fight-details/75a84211f50c53f5,http://ufcstats.com/event-details/6cd3dfc54f01287f
Julius Walker,Rafael Cerqueira,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3d6571790c21527c,http://ufcstats.com/event-details/6cd3dfc54f01287f
Elijah Smith,Toshiomi Kazama,win,Bantamweight,KO/TKO Slam,1,4:10,http://ufcstats.com/fight-details/ae7a8f19743e8154,http://ufcstats.com/event-details/6cd3dfc54f01287f
Joselyne Edwards,Priscila Cachoeira,win,Women's Bantamweight,KO/TKO Punch,1,2:24,http://ufcstats.com/fight-details/aef44145740741b3,http://ufcstats.com/event-details/6cd3dfc54f01287f
Uros Medic,Gilbert Urbina,win,Welterweight,KO/TKO Punch,1,1:03,http://ufcstats.com/fight-details/7d923267c44dd93b,http://ufcstats.com/event-details/6cd3dfc54f01287f
Gabriella Fernandes,Julija Stoliarenko,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/6ef50ed03b116b60,http://ufcstats.com/event-details/6cd3dfc54f01287f
Eric McConico,Cody Brundage,win,Light Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/857e8facd8ff7c36,http://ufcstats.com/event-details/6cd3dfc54f01287f
Tatsuro Taira,HyunSung Park,win,Flyweight,SUB Neck Crank,2,1:06,http://ufcstats.com/fight-details/282c8c6c1ed82bfb,http://ufcstats.com/event-details/f2c934689243fe4e
Chris Duncan,Mateusz Rebecki,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/426a69e343822ab3,http://ufcstats.com/event-details/f2c934689243fe4e
Esteban Ribovics,Elves Brener,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/878941394f9e3538,http://ufcstats.com/event-details/f2c934689243fe4e
Karol Rosa,Nora Cornolle,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c62ed8a6002b5360,http://ufcstats.com/event-details/f2c934689243fe4e
Neil Magny,Elizeu Zaleski dos Santos,win,Welterweight,KO/TKO Punches,2,4:39,http://ufcstats.com/fight-details/ac57250e3de89d5d,http://ufcstats.com/event-details/f2c934689243fe4e
Kevin Vallejos,Danny Silva,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/111e66eb922449e4,http://ufcstats.com/event-details/f2c934689243fe4e
Rinya Nakamura,Nathan Fletcher,win,Bantamweight,KO/TKO Kick,1,1:02,http://ufcstats.com/fight-details/eeeffa7f514e0c0e,http://ufcstats.com/event-details/f2c934689243fe4e
Rodolfo Vieira,Tresean Gore,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/45781930d64da456,http://ufcstats.com/event-details/f2c934689243fe4e
Andrey Pulyaev,Nick Klein,win,Middleweight,KO/TKO Kick,2,1:31,http://ufcstats.com/fight-details/b3c695728e177fd4,http://ufcstats.com/event-details/f2c934689243fe4e
